rank,O score,matrix,c1,m1,c2,m2
234,2.0124752931308953,"         114       99
369 7.30E+01 9.83E+01
381 8.73E+01 9.41E+01",114,381,99,369
235,2.0124605701043277,"         114       86
371 7.13E+01 1.05E+02
384 8.73E+01 1.03E+02",114,384,86,371
236,2.0124541851680418,"         114      128
261 7.36E+01 1.04E+02
404 8.58E+01 9.65E+01",114,404,128,261
237,2.0124522418444855,"         114       78
261 7.36E+01 1.04E+02
383 8.62E+01 9.76E+01",114,383,78,261
238,2.0124509233002605,"         114       79
391 8.49E+01 1.01E+02
443 7.23E+01 1.08E+02",114,391,79,443
239,2.012449053046795,"         114       78
383 8.62E+01 9.76E+01
453 7.23E+01 1.02E+02",114,383,78,453
240,2.0124486909247956,"         114       NP
316 7.91E+01 9.37E+01
366 7.01E+01 1.04E+02",114,316,NP,366
241,2.012444988564381,"         114       99
261 7.36E+01 1.02E+02
390 8.63E+01 9.55E+01",114,390,99,261
242,2.012441480136857,"         114      128
368 7.19E+01 9.76E+01
381 8.73E+01 9.48E+01",114,381,128,368
243,2.0124198412799497,"         101      114
260 9.46E+01 7.36E+01
381 8.97E+01 8.73E+01",101,260,114,381
244,2.0123742799049094,"         101      114
371 9.31E+01 7.13E+01
390 9.02E+01 8.63E+01",101,371,114,390
